rpc	316056
RHOPB	316056
sit	292414
SILST	292414
bex	1184267
crz	1778675
dda	579405
DICDA	579405
och	271865
buc	107806
BUCAI	107806
mhat	1222034
fpm	28110
aff	194196
zmm	555217
ZYMMA	555217
awu	1879050
ebi	634500
aah	272556
seh	454169
SALHS	454169
asi	696748
vag	1219076
rbm	1862950
red	1294273
mme	717774
pcv	78398
ooi	1032623
psg	1280938
enc	716541
pagg	470934
kuy	657387
haxi	115555
meu	1662285
rpk	562019
RICPU	562019
sphk	1515612
pcay	2292766
heg	907240
kbl	1208923
suln	2590021
sfn	1282357
nwr	1814290
lef	1907578
koc	571
pca	338963
PELCD	338963
hfe	936155
gap	1196095
cpin	1874362
bol	1408887
hpv	637913
bbk	360095
BARBK	360095
wma	1579979
fad	2007306
sfg	47917
ena	1033813
bue	758796
nmt	604162
sphr	1843368
bpc	1017264
weo	169402
ftd	1452728
eok	701177
apg	634459
tpn	891398
pset	1856685
rbe	336407
RICBR	336407
rli	391595
mch	440085
METCH	440085
cfx	1093099
asy	634113
sagu	2009329
pspi	1249552
boc	441162
pmos	1306993
woc	1548547
hhu	1178482
bsuv	645170
amac	529120
srr	768492
kph	1225181
png	28109
ptu	314281
salz	2500543
pant	1484158
ano	106654
deo	1986146
rjg	1312183
lpn	272624
LEGPH	272624
nwa	105559
wed	1236908
bmr	568815
nst	1444684
jas	2590869
hcs	213554
kct	1208918
psv	69328
mmaa	1202962
btz	1249663
ceh	1758178
bapu	1009856
amim	1247726
bpet	743277
bmx	862908
BACMS	862908
limn	2732163
pge	61647
her	1234365
hpaz	1322346
mgm	156889
MAGSM	156889
maqu	270351
hpyh	1382926
daf	690850
sbp	407976
SHEB2	407976
ecoi	1382700
psil	1853130
hpw	985080
pfc	1037911
las	537021
LIBAS	537021
ect	585057
ECO7I	585057
roh	2587850
psy	314282
hja	930805
php	1844006
bpq	1229785
bov	444178
BRUO2	444178
adn	596153
pna	365044
POLNA	365044
bbh	568707
hpl	693745
abu	367737
ARCB4	367737
cuh	106590
hbv	663364
pve	656178
pcq	53408
cfh	1679497
sdr	1163617
ppuj	2108399
kva	640131
msc	187303
sry	1348660
bmee	520466
aht	74033
rab	33989
sba	760154
bsk	1104321
bcar	36855
oco	1031710
rtg	577
pshi	703
tgl	53501
chv	28898
amol	870501
ypac	311180
ren	2486578
kpe	244366
KLEP3	244366
dsd	1121464
hht	1262470
bcs	483179
BRUC2	483179
hty	76936
paeu	1407059
senm	1835721
pacr	1940612
pdag	754
paga	1312369
bfl	203907
BLOFL	203907
mhc	1163748
nik	2614693
halo	1883416
hhr	1163739
rrp	1105101
laz	61646
blag	2233851
ngg	1028800
mari	1671721
ddn	641491
camr	1500960
sok	2303331
atx	637390
hen	1055530
rco	272944
RICCN	272944
tmo	1110502
sde	203122
SACD2	203122
bgo	28095
rsl	859657
hhs	1235990
ern	1812935
ema	1499973
tig	40754
jan	290400
JANSC	290400
bsz	520487
swi	392499
SPHWW	392499
apj	434271
ACTPJ	434271
bbag	1469502
mhey	391905
ebd	866768
ECOLX	866768
raq	745277
vas	1481923
nbl	2666100
ppv	157782
sfu	335543
SYNFM	335543
rgr	1120045
smz	1163399
vcf	686
bpe	257313
BORPE	257313
patr	29471
hix	727
cmuc	202
aoa	418699
pfx	244566
mbry	655015
eun	696406
afr	243159
THIFE	243159
ftq	1341656
smw	435998
ppk	1416914
seb	909946
koy	1308980
xff	788929
rpi	402626
RALPJ	402626
bez	807
abaa	470
keu	33995
lfa	1212491
yal	1453495
vbo	436515
pgv	991905
yro	29485
alf	160699
ajp	1278309
acv	1407071
ome	141451
sene	1064551
thin	2508687
icp	476281
hhm	1216962
halc	2601894
heq	102608
zmr	1194424
ahp	1418107
goh	1224746
sfw	47917
hpyd	1382922
suli	2070369
mhua	763057
doa	888061
kpr	861365
bthl	1249660
abau	470
mmai	1432792
pprc	1124983
crc	1202537
ppro	1420599
spmi	407020
bvr	1079
pcg	47879
edh	536056
btre	1263829
asj	108981
rhc	1564506
axe	1094342
abs	1064539
mfu	35
lmir	47671
oto	1658672
wsu	273121
WOLSU	273121
slut	1045317
adt	32002
vch	243277
VIBCH	243277
tpro	1229727
smic	335406
palw	1537215
mca	243233
METCA	243233
senv	1412461
psh	644801
bpsh	1306418
cjen	1383068
ypl	632
cmj	1159491
rtt	1003201
bme	224914
BRUME	224914
tti	713585
gan	1005058
bapw	1009857
achi	2004650
aprs	160660
ahj	1419584
ksd	1144748
lpy	2589080
mthi	1458355
rsk	557760
RHOSH	557760
pbr	314260
pao	592316
sbl	325240
SHEB5	325240
rmc	109232
pade	1302376
mpli	321984
smx	707241
mamo	1082933
ops	419475
bch	331272
BURCH	331272
beba	1904640
cox	96344
sfl	198214
SHIFL	198214
wbr	36870
WIGBR	36870
rpu	1310165
lmb	1605891
sphd	1283312
laq	84531
abaw	2341112
avn	322710
AZOVI	322710
bbac	959
bhz	103855
hit	281310
HAEI8	281310
fty	264
chw	1813019
nri	434131
fha	549298
ret	347834
RHIEC	347834
yan	1792508
das	643562
pfb	47883
mhae	1261126
ypb	502801
YERPB	502801
kpq	1328325
sef	1008297
shyd	1673076
aes	1758179
magn	1639348
hjo	1549855
thig	2580412
pur	45610
esl	1133852
asq	233316
gxl	1296990
ebf	693444
hms	679897
ype	214092
YERPE	214092
paer	1279008
hce	182217
hed	1778263
rpf	428406
BURPI	428406
mea	272630
METEA	272630
psky	97481
lss	452
cspf	1031920
bte	271848
BURTA	271848
yel	1443113
srh	216778
ocm	1903694
hay	712310
hpa	357544
HELPH	357544
abm	509170
ACIBS	509170
ipi	1096243
sutt	2494234
mpri	178399
opf	1416627
hiw	727
barh	858423
nre	158500
acz	637389
sphi	1609977
rbg	441209
ekf	595495
wol	163164
WOLPM	163164
lha	449
aana	877500
bpk	1241583
kpw	72407
bpm	320372
BURP1	320372
barw	1933904
rec	491916
RHIE6	491916
ysi	367190
bba	264462
BDEBA	264462
bsui	645170
apac	391936
nmd	935599
rms	416276
RICM5	416276
pba	994484
ecan	69218
psyy	2203895
echl	1249653
adk	596154
hhk	1052
bsym	1404367
pum	198618
pns	1112
hak	1504981
peg	2563896
geb	443143
tin	75379
rdp	76731
nen	1825976
afe	380394
ACIF5	380394
ppd	338966
PELPD	338966
bqr	1225179
ppun	1211579
chrm	2605945
amx	543877
hmc	717785
gem	443144
bvn	1094497
sufl	1208342
bot	931866
buk	416344
bpeu	1403053
nam	598659
NAUPA	598659
ama	234826
ANAMM	234826
mpc	491952
pcr	335284
PSYCK	335284
vvm	914127
pbw	283699
van	882102
stm	99287
SALTY	99287
kco	1300165
dpr	577650
esc	701347
bceo	1055524
psin	1235591
por	47885
eck	585055
ECO55	585055
aid	756892
hem	1321941
meti	2202828
alg	254246
yew	630
dej	1716143
rbo	391896
RICB8	391896
rpr	272947
RICPR	272947
teg	1091497
apt	634452
oah	529
pbc	930166
but	28450
deu	1823759
cgeo	1780362
pym	515393
paf	941193
fiy	1608628
kci	1267577
ese	431946
tol	1298593
suld	1968541
kbt	1208922
nao	1441467
sea	454166
SALA4	454166
vpf	1338034
blat	488446
gdi	272568
GLUDA	272568
ppb	931281
brg	1827469
azq	2016596
rga	1418105
tbd	292415
THIDA	292415
pso	571800
this	1032
hni	1029756
eex	2528037
dba	525897
DESBA	525897
spau	13689
aka	1036672
ccv	360105
CAMC5	360105
hif	866630
rpha	396
kpy	72407
kpu	484021
KLEPN	484021
pmut	1499308
ecoo	1248902
bbr	257310
BORBR	257310
dat	177437
DESAH	177437
shz	879274
prp	1340851
hap	557723
HAEPS	557723
psuw	314722
dde	207559
DESDG	207559
palh	1891675
dts	180282
heo	85962
hee	2025949
dvg	573059
apu	634454
bic	1274631
apom	65959
nis	387092
NITSB	387092
atu	176299
AGRT5	176299
saln	2183911
psj	1123519
gai	1192854
hac	382638
HELAH	382638
ecx	331112
ECOHS	331112
aeu	202947
rok	2203213
xpo	1354304
ypq	633
asu	339671
ACTSZ	339671
sini	2698684
hpak	738
bsto	960
neo	2060726
aaj	644
cmar	1397108
ree	1259973
orm	2742145
abn	480119
ACIB5	480119
pke	1628086
pfl	220664
PSEF5	220664
kvu	880591
fso	1802984
rhp	1850250
seno	1412459
pkt	1768242
bsf	1004954
hbl	37372
nsf	28449
pfg	656179
rmuc	207340
sei	476213
SALET	476213
dpi	1322246
bgm	463040
mpt	420662
METPP	420662
aex	573065
xth	56464
pne	452638
POLNS	452638
camz	1660076
sme	266834
RHIME	266834
smur	641147
alt	715451
saz	326297
SHEAM	326297
mpar	134
bpd	320373
BURP6	320373
ecly	299766
pspo	1117319
ech	205920
EHRCR	205920
mmr	394221
MARMM	394221
xbv	40576
bpx	1229205
rpb	316058
RHOP2	316058
gle	2030797
vgo	1333996
pck	1235990
nek	655307
jab	1236179
xpe	442694
sbv	1382510
eta	465817
metx	739141
pfv	743720
goy	1288313
hip	374930
HAEIE	374930
ftc	119857
cola	2161872
lea	2681307
dbr	644282
emx	375549
kpse	1646340
ahr	1418110
rhg	2509614
sbn	399599
SHEB9	399599
stek	1793721
cmw	1159613
apag	728
dal	218208
DESAA	218208
aace	435
nov	1609758
apq	634455
ngl	1028801
ssan	1123269
kre	215221
rsc	859656
hpyu	1321940
kie	61648
melm	2116657
jsv	368607
pspw	754502
rrh	1105103
llu	1391654
atw	2067960
bjp	375
fna	1163389
cjeu	1380768
smaf	671990
lsol	453783
bop	1792307
hpyk	1055532
bpsu	1249471
clap	158823
cuu	876364
bpt	340100
BORPD	340100
ptc	2115978
cbx	946483
erg	302409
EHRRG	302409
xhy	56455
vga	687
zpl	33074
sphg	1806885
dfl	241368
xcc	190485
XANCP	190485
nap	2579250
kpt	72407
hdu	233412
HAEDU	233412
mms	375286
JANMA	375286
psel	2678688
rot	2588299
ddq	1306405
cff	360106
CAMFF	360106
crv	1202540
vct	190893
eay	716540
amv	926570
sply	1154756
faq	2745590
pgd	1423144
prw	349106
PSYWF	349106
tht	2552945
eoj	573235
xfr	48664
cjy	32022
cyo	133448
dla	558537
amai	1300258
bage	82977
fsm	1878942
cyy	728003
sbz	1197719
cfv	1273266
spoi	1620392
rrn	1105100
tse	2675054
xph	317013
babr	520454
lem	69
baj	261317
nma	122587
NEIMA	122587
cln	1388749
bgj	1109412
vam	2126319
cem	158822
mali	321983
ccun	1121267
sbc	344609
SHIB3	344609
ehh	391036
mht	1249526
bof	2599640
bpv	120576
edw	1578828
cey	2054173
mpo	441620
METPB	441620
sfr	318167
SHEFN	318167
mela	2109913
cpar	1563222
ttu	377629
TERTT	377629
acn	574556
nzo	326523
senl	149539
xcb	314565
XANC8	314565
cbw	68895
hpc	765963
hci	573234
pfw	321846
vit	96942
smy	621456
axx	85698
bky	2133959
dey	2231055
pds	85581
taw	2494374
ecls	1812935
eclg	550
rcc	1105107
daer	1288495
lwa	66969
afq	511
mbah	2283318
cmag	1411902
thd	1902579
pspg	1699622
ftr	510831
FRATE	510831
brk	2057741
brl	1938605
cfon	1737446
lar	1261131
abo	393595
ALCBS	393595
pdk	1093787
kqu	1463165
cjp	1201032
mvi	1433287
rpx	652103
adz	873191
amb	1004787
mgy	1430440
pgb	658445
tpq	1053648
mtun	227605
dds	525146
DESDA	525146
bcas	36855
mey	1486262
jaz	1644131
nla	489653
bva	859654
gho	673
pli	91844
hbi	1002804
bxb	266265
kpm	1125630
nwi	323098
NITWN	323098
fpp	1267021
xva	325776
bau	561501
BUCAT	561501
sfx	198215
SHIFL	198215
apm	859653
mham	1311759
laa	1174529
hpys	1352356
xor	383407
acet	2259883
pga	391619
ael	73010
tcy	717773
xfm	405440
XYLFM	405440
caf	35703
sil	246200
SILPO	246200
mict	2587856
hpo	585535
echg	2494701
mtea	2202827
tkm	396595
rbh	1898103
eco	511145
ECOLI	511145
xcv	316273
XANC5	316273
dalk	571177
yin	631
pea	1314869
abx	696749
ati	528244
teq	937774
gbm	404380
GEOBB	404380
psu	743721
sphs	1892855
aci	62977
ACIAD	62977
xcf	611301
hebr	1462615
amk	1004785
smai	2520507
lvs	245188
uru	2732067
otm	1458307
pmib	1266738
cbg	434923
COXBU	434923
sech	59803
gme	269799
GEOMG	269799
bra	114615
BRASO	114615
msx	1420916
vhr	669
sphj	1921510
sev	568708
ecl	481805
ECOLC	481805
aber	106648
leh	1920116
hei	1234600
bok	342113
mass	2045208
drg	1715720
ppan	82367
acom	41977
pkc	1301098
btj	1249662
pspu	93222
xcw	611301
cbaa	1458425
fth	393011
FRATO	393011
vcx	666
masy	1593482
kde	1208919
bdc	2220073
ssal	1260251
not	1016987
pnr	93219
plu	243265
PHOLL	243265
bsem	488731
ilo	283942
IDILO	283942
vaq	2587862
efk	1401328
ais	217204
paco	1849015
hyc	2565558
csf	1388752
jlv	29581
sof	618
rgu	946333
paes	1427342
pmai	1755811
bprc	543913
nse	222891
NEOSM	222891
merd	1777866
bms	204722
BRUSU	204722
eae	1028307
pamo	2171755
rva	648757
aei	1324350
pans	2575375
elr	1048689
zpa	2080469
bpso	1439855
shp	399804
pfs	216595
PSEFS	216595
xft	183190
XYLFT	183190
lpe	933093
lri	158841
bbet	244734
cser	1082851
lok	1268635
bbw	765869
marj	2547598
bpsm	1249474
ahs	197482
vcy	190893
rhi	394
RHISN	394
abh	1100841
htr	265883
mmk	1124991
pdz	395631
pmeg	420953
mboi	476
tas	1008459
sphx	2565556
pag	557722
PSEA8	557722
ebu	2052938
sed	439851
SALDC	439851
spiz	2666185
ypf	748672
rsv	941638
metp	2082386
ccr	190650
CAUCR	190650
laqu	1396826
swp	225849
SHEPW	225849
bvz	1549949
rrr	1338411
vni	28173
llo	661367
hna	555778
aell	913109
alr	2267264
bsg	29461
tpj	1266371
eso	1133853
cvc	1108595
mym	1297742
eam	665029
vha	338187
VIBHB	338187
rhey	1906744
brev	2579977
hih	727
sfj	61651
bgf	640512
cij	1634516
ili	1321370
htq	2602015
alc	1785128
abl	1036172
bmaz	320389
bdl	350701
beb	1690485
shw	351745
SHESW	351745
cdm	1159554
sphl	1913578
hpyl	1248726
rpa	258594
RHOPA	258594
dtx	445710
mlq	1749259
eho	93378
hcp	1172562
spkc	1030157
brd	1532555
arj	40216
hrb	1078773
azr	2027405
tea	743973
fpx	28110
ddd	198628
mor	693986
rta	365046
rsy	305
ngf	1176536
heu	1055529
vdb	50719
nzl	640030
txi	1123366
mpur	765910
rpn	1290427
hha	349124
HALHL	349124
ahl	29430
pvg	585
pia	152297
rpq	449216
cji	567106
woo	100901
etw	544404
babc	235
efv	192812
avt	762
snj	1961362
ppoa	2042057
rpe	316055
RHOP5	316055
exf	1296536
carm	2505970
nar	279238
NOVAD	279238
parb	2026199
malg	988812
ecle	1333850
shb	1160717
salk	2572577
psz	96563
caba	2705547
cis	1031564
hpg	563041
HELPG	563041
paq	1095774
rpd	316057
RHOPS	316057
bsv	1112912
ead	1416753
cjv	32022
gps	1129794
pkr	198620
lpu	1312904
rpg	1105098
phz	2023229
pnc	1089456
paby	1250539
hso	205914
HAES1	205914
bur	482957
BURS3	482957
serm	2033438
adp	51161
heb	1407462
baro	515256
bvl	981386
xfu	366649
lrz	1440763
orb	1635327
kmi	1134687
avl	1283330
rpm	1150469
hpp	570508
HELPY	570508
pud	2716226
dvl	391774
DESVV	391774
thac	2048283
pha	326442
PSEHT	326442
stt	209261
SALTI	209261
lum	2006110
gbh	1051974
esm	1134782
pse	748280
xop	360094
XANOP	360094
setu	1171376
mhq	1249531
psm	234831
amp	1412840
aug	108980
psen	1514074
ahd	1448139
vfi	312309
VIBF1	312309
cfd	1333848
pcz	587753
apoc	1935204
avi	311402
AGRVI	311402
meso	1670800
tcl	96773
smag	33050
xau	78245
XANP2	78245
pall	741155
pot	2547601
bve	1449978
cmed	391592
alig	720
salh	2183582
seeh	1124936
lei	1920114
adv	1871111
fto	1432652
epy	634499
metr	1842540
spzr	2711215
fmy	416213
aph	212042
ANAPZ	212042
elp	910348
ala	1789224
hbe	475662
lpv	2172103
yak	263819
smd	366394
SINMW	366394
npn	1088721
err	2182384
rty	257363
RICTY	257363
cfar	67824
rua	2293862
eof	1972134
dhk	1920191
rpp	1105108
lat	931202
shq	1813821
mvs	80854
sgi	267128
amyt	1032238
pstg	1940610
wbm	292805
WOLTR	292805
cak	366602
CAUSK	366602
pmul	747
vta	1671868
epr	644651
see	423368
SALNS	423368
kak	1917421
sphb	1855519
dso	1225786
oce	511062
ypr	633
hdn	582899
mtim	945844
aan	694569
tdn	326298
SULDN	326298
asw	217203
ssam	1293412
eli	314225
ERYLH	314225
boj	1977852
aoh	1248439
bui	1795874
thal	1193729
aseg	888057
mai	856793
cpaf	1424653
csj	28141
zin	871271
azc	438753
AZOC5	438753
nco	44574
cko	290338
CITK8	290338
sfla	2584094
xal	380358
acum	2136182
hhq	1163741
vcq	666
ccy	1183379
bas	198804
BUCAP	198804
ljr	456
rrf	1036743
rlt	395492
RHILT	395492
ppsh	122355
yet	630
suam	1917485
paca	91604
pami	1367847
prag	2498113
cbc	434924
COXBU	434924
xct	1308541
agr	861208
sva	1675686
bsun	653940
senn	877468
xca	340
XANCB	340
lmd	999552
echs	1249654
bmb	262698
BRUAB	262698
bju	1037409
brf	2561924
mcys	1553431
rhk	2020311
hpas	738
sega	1225522
psya	1720344
bro	115808
smul	1150621
mcs	480
nor	2571749
sphp	292913
asp	1160720
gox	290633
GLUOX	290633
ses	41514
SALAR	41514
chiz	2739434
mes	266779
MESSB	266779
hiq	374931
HAEIG	374931
fta	458234
FRATF	458234
yti	1447062
skr	93064
pcj	134536
hmd	29570
hmi	2259620
raf	347255
RICAE	347255
ftw	418136
FRATW	418136
ccs	565050
CAUCN	565050
awd	80852
arc	944547
ece	155864
ECOLX	155864
sdn	318161
SHEDO	318161
vpd	1246301
pbb	1697053
tsy	1166950
nei	1853278
prot	1921565
tpty	82987
nsa	749222
boz	2163011
sal	317655
SPHAL	317655
rge	983917
vpk	1338032
tbv	215691
bmae	13373
sjp	452662
tbn	1076588
hpn	907238
mpsy	1704499
psem	1611770
kpp	1193292
hca	1163742
xoy	1458476
babu	520455
hcl	45498
fts	1232394
llg	45067
rhn	1703962
wpp	1116230
lagg	187304
nmh	909420
ftn	401614
FRATN	401614
kps	1420013
adh	196024
hpyc	1382921
seni	90371
mgra	85402
rrc	1105102
xfa	160492
XYLFA	160492
rmi	1105112
pmv	1132496
cui	1074000
spot	60137
mmt	857087
dti	706587
vex	150340
ftg	1001542
swd	392500
SHEWM	392500
sthm	215580
ecm	439855
ECOSM	439855
pye	147645
pphr	121719
cfus	43
amah	332411
gti	257438
sua	563040
ctt	363952
pstt	316
brh	882378
fmi	2249302
vpb	1211705
emo	2213226
yfr	1454377
bid	395963
BEII9	395963
psos	1500686
yee	1262462
acx	1328314
ncz	483
hahe	1628392
net	335283
NITEC	335283
bmc	430066
BRUA1	430066
palg	2026624
meh	666681
vsh	689
cse	509190
gxy	634177
ypw	632
ced	1778540
eak	1752398
mpq	330734
bcd	696125
ebr	413997
vci	1134456
dvu	882
DESVH	882
ccon	1073999
pch	587753
rri	392021
RICRS	392021
afc	1564138
yps	273123
YERPS	273123
hmar	28885
baa	1104320
axn	1216976
vcz	666
cpot	1639133
rja	652620
haeg	197575
sem	718274
xci	1137651
aaus	589873
pdr	1294143
hin	71421
HAEIN	71421
erf	2587851
smk	693982
vcm	579112
VIBCM	579112
gqu	929813
esh	2071710
baph	1265350
ccx	1144275
msd	1278073
pef	1842532
enx	1560339
koe	1191061
alw	28090
lch	395495
LEPCP	395495
vcr	345073
amao	1300257
apra	1745854
cjd	360109
CAMJD	360109
abt	944546
ptt	230089
ypv	632
ngo	242231
NEIG1	242231
lgu	262324
cjr	195099
CAMJR	195099
mphy	418223
eko	595495
kox	1006551
sya	13690
sec	321314
SALCH	321314
fnl	1356861
moi	29433
xac	190486
XANAC	190486
lsh	28087
kma	157779
axo	1167634
byi	1097668
pae	208964
PSEAE	208964
amad	1300259
ptp	666509
koa	505
bmn	320389
BURM7	320389
pes	2342
salv	1196094
seeb	1173427
hpit	249188
aol	1245469
psa	379731
PSEU5	379731
bapi	1686310
end	1827481
bfw	1550728
sew	439843
SALSV	439843
paed	1591409
boi	1867715
azd	356837
ans	638
echv	1249655
cste	153493
cjej	1380767
pars	2259340
sbo	300268
SHIBS	300268
salm	2303538
echp	1249650
hpd	290847
buq	1678678
bsw	29461
llp	418701
buo	758793
nmi	662598
ecln	550
enr	1166130
sse	425104
SHESH	425104
msr	1420917
pgp	60548
vsa	316275
ALISL	316275
zmo	264203
ZYMMO	264203
apy	1184253
fpt	539329
colw	1816219
cke	225992
mmes	908290
mhao	1311760
rhe	1032845
vfl	676
dko	1300342
paur	1883414
rhz	674703
nmn	374833
NEIM0	374833
mgry	431944
cri	667013
fpj	28110
trb	943830
eoi	585396
crp	387662
CARRP	387662
phr	1868589
thio	1803865
gni	1085623
maes	1921086
drt	485915
rce	414684
RHOCE	414684
tcn	1463158
ler	2681309
ccro	52
aua	1349819
agc	1842536
opo	82983
rrj	452659
RICRO	452659
spl	398579
SHEPA	398579
spq	1016998
SALPB	1016998
ebl	469008
slm	1904944
pct	561230
PECCC	561230
vaf	1074311
aeh	187272
ALHEH	187272
bsan	1249553
smeg	1235461
hat	1579316
xne	406817
echw	1249656
elf	591946
buz	1417228
fes	2724191
bpa	257311
BORPA	257311
plr	1239881
sbt	693973
rbt	1528098
sphf	2219696
lcj	28084
hyo	2231112
pde	318586
PARDP	318586
gag	983545
btr	382640
BART1	382640
send	85569
bvi	269482
BURVG	269482
sex	1132507
psed	2213057
vaa	1795631
lal	1526571
esz	2044467
bsb	633149
pvd	33069
cnc	1042878
kko	523791
splk	1390395
mety	2487150
elg	299767
senb	1320309
mum	864828
eaa	86106
ror	1286170
apai	1080223
rbn	987059
xbo	406818
oin	94625
rmo	1105114
boh	1697043
mmn	696127
kpx	573
sutk	2584944
rpln	575
seny	1929246
rpus	648995
banc	1318743
vow	696485
tmz	85643
nsi	488
mtw	595536
eclc	1333849
alan	1355374
rpod	1852022
sej	990282
cup	367825
idi	2055892
sbf	2493639
bxe	266265
BURXL	266265
ahh	644
miu	1658665
acaa	1912871
fhi	1088883
aak	83263
bul	1468409
csk	1138308
pput	1331671
cid	1208324
srs	768490
bug	640510
reu	264198
RALEJ	264198
ecr	585034
ECO8A	585034
bvy	1325724
mko	702114
seep	1298917
jag	1349767
cate	2172099
dic	568768
eoh	585395
seec	1271863
pws	1175631
pht	1867719
pmot	1435058
kpg	72407
oai	698738
hdi	1482074
rei	1301032
plz	43657
pre	1245471
hvn	44935
kpnu	573
yph	547048
YERPH	547048
asr	652
tho	1705394
kpne	573
cber	1967665
blas	1842535
izh	2579935
rbd	2010829
bvc	41276
nwe	28091
kvd	244366
maq	351348
MARAV	351348
kga	1208921
aper	1076596
nani	326522
frt	573569
ebc	1920109
upv	401471
afri	1085644
bbro	463025
tzo	2675053
tat	1091495
ypi	349747
YERP3	349747
pin	357804
PSYIN	357804
hil	935897
cfp	1507806
baus	1094489
acio	2478662
malu	561184
ple	1206109
acid	553814
aaqu	323284
lib	454
vco	345073
VIBC3	345073
pmu	272843
PASMU	272843
crx	203
slac	2715678
mann	2679994
pmp	1075089
sgl	343509
SODGM	343509
eld	885276
mets	2202825
ery	1648404
xho	351679
paet	749
brb	55213
pseo	1348114
hps	512562
HELPS	512562
rip	515618
psi	1157951
hpyg	1382925
dfn	1778540
pseb	2500533
lpop	1172565
azt	664962
seo	588858
upi	2495591
roy	2267833
mci	765698
sdf	465721
shm	60481
SHESR	60481
lcp	435897
mos	34062
abj	1096995
tau	595494
TOLAT	595494
sfd	1185652
ecz	585035
